state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
46,Vermont,1990,17399,3.1,5,1,,,,,10646,6898,,,,
47,Virginia,1990,309567,5,50,0,,,,,125653,186156,,,,
48,Washington ,1990,319095,6.6,40,1,,,,,149256,172888,,,,
49,West Virginia ,1990,15865,.9,5,1,,,,,9276,6436,,,,
50,Wisconsin ,1990,117137,2.4,10,1,,,,,63611,57936,,,,
51,Wyoming ,1990,8405,1.9,5,1,,,,,3966,3681,,,,
1,Alabama ,1980,39820,1,,,,,,,,,,,,
2,Alaska ,1980,15420,3.8,,,,,,,,,,,,
3,Arizona ,1980,165380,6.1,,,,,,,,,,,,
4,Arkansas ,1980,22460,1,,,,,,,,,,,,
5,California ,1980,3571600,15.1,,,,,,,,,,,,
6,Colorado ,1980,114440,4,,,,,,,,,,,,
7,Connecticut ,1980,270840,8.699999999999999,,,,,,,,,,,,
8,Delaware ,1980,18020,3.1,,,,,,,,,,,,
9,District of Columbia ,1980,39620,6.2,,,,,,,,,,,,
10,Florida ,1980,1056080,10.8,,,,,,,,,,,,
11,Georgia ,1980,91700,1.7,,,,,,,,,,,,
12,Hawaii ,1980,139820,14.4,,,,,,,,,,,,
13,Idaho ,1980,23880,2.5,,,,,,,,,,,,
14,Illinois ,1980,822380,7.2,,,,,,,,,,,,
15,Indiana,1980,102940,1.9,,,,,,,,,,,,
16,Iowa ,1980,47760,1.6,,,,,,,,,,,,
17,Kansas ,1980,48660,2.1,,,,,,,,,,,,
18,Kentucky,1980,33920,.9,,,,,,,,,,,,
19,Louisiana ,1980,84500,2,,,,,,,,,,,,
20,Maine ,1980,43220,3.8,,,,,,,,,,,,
21,Maryland ,1980,194400,4.6,,,,,,,,,,,,
22,Massachusetts ,1980,497240,8.699999999999999,,,,,,,,,,,,
23,Michigan ,1980,413860,4.5,,,,,,,,,,,,
24,Minnesota,1980,105400,2.6,,,,,,,,,,,,
25,Mississippi ,1980,23760,.9,,,,,,,,,,,,
26,Missouri,1980,87240,1.8,,,,,,,,,,,,
27,Montana,1980,18940,2.4,,,,,,,,,,,,
28,Nebraska ,1980,30860,2,,,,,,,,,,,,
29,Nevada ,1980,56020,7,,,,,,,,,,,,
30,New Hampshire ,1980,40660,4.4,,,,,,,,,,,,
31,New Jersey ,1980,756000,10.3,,,,,,,,,,,,
32,New Mexico ,1980,51320,3.9,,,,,,,,,,,,
33,New York ,1980,2389700,13.6,,,,,,,,,,,,
34,North Carolina ,1980,78160,1.3,,,,,,,,,,,,
35,North Dakota ,1980,15140,2.3,,,,,,,,,,,,
36,Ohio ,1980,298280,2.8,,,,,,,,,,,,
37,Oklahoma,1980,57980,1.9,,,,,,,,,,,,
38,Oregon,1980,106340,4,,,,,,,,,,,,
39,Pennsylvania ,1980,402380,3.4,,,,,,,,,,,,
40,Rhode Island,1980,84840,9,,,,,,,,,,,,
41,South Carolina ,1980,46620,1.5,,,,,,,,,,,,
42,South Dakota,1980,10140,1.5,,,,,,,,,,,,
43,Tennessee ,1980,49180,1.1,,,,,,,,,,,,
44,Texas ,1980,862220,6,,,,,,,,,,,,
45,Utah,1980,52540,3.6,,,,,,,,,,,,
46,Vermont,1980,21920,4.3,,,,,,,,,,,,
47,Virginia,1980,180240,3.4,,,,,,,,,,,,
48,Washington ,1980,240100,5.8,,,,,,,,,,,,
49,West Virginia ,1980,21100,1.1,,,,,,,,,,,,
50,Wisconsin ,1980,125140,2.7,,,,,,,,,,,,
51,Wyoming ,1980,9280,2,,,,,,,,,,,,
1,Alabama ,1970,21900,.6,,,,,,,,,,,,
2,Alaska ,1970,8400,2.8,,,,,,,,,,,,
3,Arizona ,1970,82600,4.7,,,,,,,,,,,,
4,Arkansas ,1970,10600,.6,,,,,,,,,,,,
5,California ,1970,1761000,8.800000000000001,,,,,,,,,,,,
6,Colorado ,1970,67700,3.1,,,,,,,,,,,,
7,Connecticut ,1970,246700,8.199999999999999,,,,,,,,,,,,
8,Delaware ,1970,15200,2.8,,,,,,,,,,,,
9,District of Columbia ,1970,35100,4.7,,,,,,,,,,,,
10,Florida ,1970,541900,8,,,,,,,,,,,,
11,Georgia ,1970,37100,.8,,,,,,,,,,,,
12,Hawaii ,1970,75300,9.800000000000001,,,,,,,,,,,,
13,Idaho ,1970,13900,1.9,,,,,,,,,,,,
14,Illinois ,1970,609700,5.5,,,,,,,,,,,,
15,Indiana,1970,90800,1.8,,,,,,,,,,,,
16,Iowa ,1970,42900,1.5,,,,,,,,,,,,
17,Kansas ,1970,28700,1.3,,,,,,,,,,,,
18,Kentucky,1970,19300,.6,,,,,,,,,,,,
19,Louisiana ,1970,38900,1.1,,,,,,,,,,,,
20,Maine ,1970,45800,4.6,,,,,,,,,,,,
21,Maryland ,1970,127500,3.3,,,,,,,,,,,,
22,Massachusetts ,1970,502600,8.9,,,,,,,,,,,,
23,Michigan ,1970,460700,5.2,,,,,,,,,,,,
24,Minnesota,1970,102100,2.7,,,,,,,,,,,,
25,Mississippi ,1970,10900,.5,,,,,,,,,,,,
26,Missouri,1970,67900,1.5,,,,,,,,,,,,
27,Montana,1970,19100,2.8,,,,,,,,,,,,
28,Nebraska ,1970,28000,1.9,,,,,,,,,,,,
29,Nevada ,1970,21400,4.4,,,,,,,,,,,,
30,New Hampshire ,1970,38200,5.2,,,,,,,,,,,,
31,New Jersey ,1970,639400,8.9,,,,,,,,,,,,
32,New Mexico ,1970,21400,2.1,,,,,,,,,,,,
33,New York ,1970,2105900,11.6,,,,,,,,,,,,
34,North Carolina ,1970,36700,.7,,,,,,,,,,,,
35,North Dakota ,1970,21400,3.5,,,,,,,,,,,,
36,Ohio ,1970,312500,2.9,,,,,,,,,,,,
37,Oklahoma,1970,22100,.9,,,,,,,,,,,,
38,Oregon,1970,63300,3,,,,,,,,,,,,
39,Pennsylvania ,1970,438400,3.7,,,,,,,,,,,,
40,Rhode Island,1970,73300,7.7,,,,,,,,,,,,
41,South Carolina ,1970,20400,.8,,,,,,,,,,,,
42,South Dakota,1970,9900,1.5,,,,,,,,,,,,
43,Tennessee ,1970,22200,.6,,,,,,,,,,,,
44,Texas ,1970,350800,3.1,,,,,,,,,,,,
45,Utah,1970,31000,2.9,,,,,,,,,,,,
46,Vermont,1970,21700,4.9,,,,,,,,,,,,
47,Virginia,1970,84100,1.8,,,,,,,,,,,,
48,Washington ,1970,169300,5,,,,,,,,,,,,
49,West Virginia ,1970,18800,1.1,,,,,,,,,,,,
50,Wisconsin ,1970,133400,3,,,,,,,,,,,,
51,Wyoming ,1970,10100,3,,,,,,,,,,,,
1,Alabama ,1960,12349,.4,,,,,,,,,,,,
2,Alaska ,1960,7277,3.2,,,,,,,,,,,,
3,Arizona ,1960,68829,5.3,,,,,,,,,,,,
4,Arkansas ,1960,7865,.4,,,,,,,,,,,,
5,California ,1960,1335666,8.5,,,,,,,,,,,,
6,Colorado ,1960,61374,3.5,,,,,,,,,,,,
7,Connecticut ,1960,285635,11.3,,,,,,,,,,,,
8,Delaware ,1960,11956,2.7,,,,,,,,,,,,
9,District of Columbia ,1960,37759,5,,,,,,,,,,,,
10,Florida ,1960,259616,5.2,,,,,,,,,,,,
11,Georgia ,1960,24910,.6,,,,,,,,,,,,
12,Hawaii ,1960,71140,11.2,,,,,,,,,,,,
13,Idaho ,1960,14458,2.2,,,,,,,,,,,,
14,Illinois ,1960,690683,6.9,,,,,,,,,,,,
15,Indiana,1960,87647,1.9,,,,,,,,,,,,
16,Iowa ,1960,54164,2,,,,,,,,,,,,
17,Kansas ,1960,35182,1.6,,,,,,,,,,,,
18,Kentucky,1960,16440,.5,,,,,,,,,,,,
19,Louisiana ,1960,30865,.9,,,,,,,,,,,,
20,Maine ,1960,58472,6,,,,,,,,,,,,
21,Maryland ,1960,100924,3.3,,,,,,,,,,,,
22,Massachusetts ,1960,572158,11.1,,,,,,,,,,,,
23,Michigan ,1960,533618,6.8,,,,,,,,,,,,
